Name,Path,Type,Size (KB),Last Modified
.env,D:\ProjectProtfolio\.env,Unknown,0.5,2025-06-28T12:11:46
.gitignore,D:\ProjectProtfolio\.gitignore,text/plain,0.08,2025-06-28T12:11:46
index.html,D:\ProjectProtfolio\index.html,text/html,0.79,2025-06-28T12:33:58
jsconfig.json,D:\ProjectProtfolio\jsconfig.json,application/json,0.05,2025-06-28T12:11:46
package-lock.json,D:\ProjectProtfolio\package-lock.json,application/json,233.15,2025-06-28T12:34:02
package.json,D:\ProjectProtfolio\package.json,application/json,1.62,2025-06-28T12:12:04
postcss.config.js,D:\ProjectProtfolio\postcss.config.js,application/javascript,0.11,2025-06-28T12:11:46
README.md,D:\ProjectProtfolio\README.md,Unknown,2.82,2025-06-28T12:12:04
tailwind.config.js,D:\ProjectProtfolio\tailwind.config.js,application/javascript,8.89,2025-06-28T12:14:10
vite.config.mjs,D:\ProjectProtfolio\vite.config.mjs,text/plain,0.6,2025-06-28T12:11:48
favicon.ico,D:\ProjectProtfolio\public\favicon.ico,image/x-icon,22.99,2025-06-28T12:11:46
manifest.json,D:\ProjectProtfolio\public\manifest.json,application/json,0.3,2025-06-28T12:12:04
robots.txt,D:\ProjectProtfolio\public\robots.txt,text/plain,0.07,2025-06-28T12:11:46
no_image.png,D:\ProjectProtfolio\public\assets\images\no_image.png,image/png,285.29,2025-06-28T12:11:46
App.jsx,D:\ProjectProtfolio\src\App.jsx,text/plain,0.13,2025-06-28T12:11:48
index.jsx,D:\ProjectProtfolio\src\index.jsx,text/plain,0.26,2025-06-28T12:11:48
Routes.jsx,D:\ProjectProtfolio\src\Routes.jsx,text/plain,1.38,2025-06-28T12:33:46
AppIcon.jsx,D:\ProjectProtfolio\src\components\AppIcon.jsx,text/plain,0.6,2025-06-28T12:11:48
AppImage.jsx,D:\ProjectProtfolio\src\components\AppImage.jsx,text/plain,0.32,2025-06-28T12:11:48
ErrorBoundary.jsx,D:\ProjectProtfolio\src\components\ErrorBoundary.jsx,text/plain,2.54,2025-06-28T12:11:48
ScrollToTop.jsx,D:\ProjectProtfolio\src\components\ScrollToTop.jsx,text/plain,0.26,2025-06-28T12:11:48
Button.jsx,D:\ProjectProtfolio\src\components\ui\Button.jsx,text/plain,4.6,2025-06-28T12:11:48
Header.jsx,D:\ProjectProtfolio\src\components\ui\Header.jsx,text/plain,7.09,2025-06-28T12:33:44
Input.jsx,D:\ProjectProtfolio\src\components\ui\Input.jsx,text/plain,1.68,2025-06-28T12:11:48
NotFound.jsx,D:\ProjectProtfolio\src\pages\NotFound.jsx,text/plain,1.4,2025-06-28T12:11:48
index.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\index.jsx,text/plain,19.0,2025-06-28T12:25:22
CaseStudyCard.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\components\CaseStudyCard.jsx,text/plain,5.15,2025-06-28T12:25:22
CaseStudyModal.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\components\CaseStudyModal.jsx,text/plain,16.01,2025-06-28T12:33:44
FilterPanel.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\components\FilterPanel.jsx,text/plain,6.99,2025-06-28T12:25:22
SearchBar.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\components\SearchBar.jsx,text/plain,1.54,2025-06-28T12:25:22
SortDropdown.jsx,D:\ProjectProtfolio\src\pages\case-study-portfolio\components\SortDropdown.jsx,text/plain,2.62,2025-06-28T12:25:22
index.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\index.jsx,text/plain,20.79,2025-06-28T12:33:44
ClientSuccessMetrics.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\ClientSuccessMetrics.jsx,text/plain,3.37,2025-06-28T12:25:30
PartnershipCard.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\PartnershipCard.jsx,text/plain,3.27,2025-06-28T12:33:44
ReferenceSection.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\ReferenceSection.jsx,text/plain,9.78,2025-06-28T12:25:30
TeamProjectCard.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\TeamProjectCard.jsx,text/plain,4.81,2025-06-28T12:25:30
TestimonialCard.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\TestimonialCard.jsx,text/plain,3.9,2025-06-28T12:25:30
WorkingStyleSection.jsx,D:\ProjectProtfolio\src\pages\collaboration-showcase\components\WorkingStyleSection.jsx,text/plain,6.2,2025-06-28T12:25:30
index.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\index.jsx,text/plain,4.23,2025-06-28T12:18:56
CallToAction.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\CallToAction.jsx,text/plain,13.1,2025-06-28T12:33:44
CareerTimeline.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\CareerTimeline.jsx,text/plain,11.47,2025-06-28T12:18:56
FeaturedCaseStudies.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\FeaturedCaseStudies.jsx,text/plain,13.39,2025-06-28T12:18:56
HeroSection.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\HeroSection.jsx,text/plain,9.25,2025-06-28T12:18:56
InsightsHub.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\InsightsHub.jsx,text/plain,15.21,2025-06-28T12:33:44
MetricsDashboard.jsx,D:\ProjectProtfolio\src\pages\interactive-dashboard-homepage\components\MetricsDashboard.jsx,text/plain,11.44,2025-06-28T12:33:44
index.jsx,D:\ProjectProtfolio\src\pages\professional-journey\index.jsx,text/plain,0.91,2025-06-28T12:33:18
CareerTimeline.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\CareerTimeline.jsx,text/plain,9.25,2025-06-28T12:33:18
EducationSection.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\EducationSection.jsx,text/plain,18.77,2025-06-28T12:33:44
FutureVisionSection.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\FutureVisionSection.jsx,text/plain,19.43,2025-06-28T12:33:18
HeroSection.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\HeroSection.jsx,text/plain,4.41,2025-06-28T12:33:18
PhilosophySection.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\PhilosophySection.jsx,text/plain,10.58,2025-06-28T12:33:44
RecognitionSection.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\RecognitionSection.jsx,text/plain,23.37,2025-06-28T12:33:44
SkillsMatrix.jsx,D:\ProjectProtfolio\src\pages\professional-journey\components\SkillsMatrix.jsx,text/plain,12.83,2025-06-28T12:33:44
index.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\index.jsx,text/plain,5.49,2025-06-28T12:26:00
ExpertInterviews.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\ExpertInterviews.jsx,text/plain,15.33,2025-06-28T12:33:44
FeaturedInsights.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\FeaturedInsights.jsx,text/plain,7.85,2025-06-28T12:26:00
HeroSection.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\HeroSection.jsx,text/plain,4.42,2025-06-28T12:26:00
InteractiveTrends.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\InteractiveTrends.jsx,text/plain,11.64,2025-06-28T12:26:00
NewsletterSection.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\NewsletterSection.jsx,text/plain,10.55,2025-06-28T12:33:44
TopicCategories.jsx,D:\ProjectProtfolio\src\pages\thought-leadership-hub\components\TopicCategories.jsx,text/plain,7.66,2025-06-28T12:26:00
index.css,D:\ProjectProtfolio\src\styles\index.css,text/css,0.15,2025-06-28T12:11:48
tailwind.css,D:\ProjectProtfolio\src\styles\tailwind.css,text/css,7.82,2025-06-28T12:14:10
